2024-10-14 15:12:58,903 I(3917|3942)[SP_KPI][Media][RELEASE_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-14 15:12:58,903 I(3917|3942)[SP_KPI][Media][RELEASE_PLAYER][MAINTENANCE_MEDIA] begin
2024-10-14 15:13:06,175 I(3917|5082)[SP_KPI][Media][OPEN_CAMERA]: 26ms
2024-10-14 15:13:20,978 I(5777|5799)[ME2147483646]release
2024-10-14 15:13:23,748 I(5777|5850)[SP_KPI][Media][OPEN_CAMERA]: 2503ms
2024-10-14 15:13:24,845 I(5777|5830)[SP_KPI][Media][OPEN_CAMERA]: 27ms
2024-10-14 17:01:18,138 I(5777|6266)[SP_KPI][Media][OPEN_CAMERA]: 33ms
2024-10-14 18:04:21,241 I(5777|6266)[SP_KPI][Media][OPEN_CAMERA]: 32ms
2024-10-14 19:07:25,732 I(5777|9591)[SP_KPI][Media][OPEN_CAMERA]: 22ms
2024-10-14 19:08:00,332 I(5777|6266)[SP_KPI][Media][OPEN_CAMERA]: 18ms
2024-10-14 19:08:08,796 I(5777|5830)[SP_KPI][Media][OPEN_CAMERA]: 22ms
2024-10-22 10:38:58,399 I(3925|4216)[ME2147483646]release
2024-10-22 10:38:58,597 I(3925|3947)[SP_KPI][Media][OPEN_CAMERA]: 61ms
2024-10-22 10:38:59,496 I(3925|3947)[SP_KPI][Media][OPEN_CAMERA]: 45ms
2024-10-22 10:39:00,637 I(3925|4509)[ME10]release
2024-10-22 10:39:00,664 I(3925|4509)[ME1]release
2024-10-22 10:39:00,694 I(3925|4509)[ME2]release
2024-10-22 10:39:00,734 I(3925|4509)[ME3]release
2024-10-22 10:39:00,755 I(3925|4509)[ME4]release
2024-10-22 10:39:00,801 I(3925|4509)[ME5]release
2024-10-22 10:39:00,822 I(3925|4509)[ME6]release
2024-10-22 10:39:00,838 I(3925|4509)[ME8]release
2024-10-22 10:39:01,029 I(3925|3943)[ME1]stop
2024-10-22 10:39:01,030 I(3925|3943)[SP_KPI][Media][STOP_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-22 10:39:01,031 I(3925|3943)[SP_KPI][Media][STOP_PLAYER][MAINTENANCE_MEDIA] begin
2024-10-22 10:39:01,033 I(3925|3943)[ME1]release
2024-10-22 10:39:01,033 I(3925|3943)[SP_KPI][Media][RELEASE_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-22 10:39:01,034 I(3925|3943)[SP_KPI][Media][RELEASE_PLAYER][MAINTENANCE_MEDIA] begin
2024-10-22 10:39:20,960 I(3925|5110)[SP_KPI][Media][OPEN_CAMERA]: 26ms
2024-10-22 10:39:37,419 I(3925|5116)[SP_KPI][Media][OPEN_CAMERA]: 25ms
2024-10-22 10:40:07,602 I(5928|5951)[ME2147483646]release
2024-10-22 10:40:10,399 I(5928|5973)[SP_KPI][Media][OPEN_CAMERA]: 2504ms
2024-10-22 10:40:11,482 I(5928|5973)[SP_KPI][Media][OPEN_CAMERA]: 16ms
2024-10-22 10:41:33,788 I(5928|6376)[SP_KPI][Media][OPEN_CAMERA]: 24ms
2024-10-22 10:42:26,761 I(5928|6376)[SP_KPI][Media][OPEN_CAMERA]: 26ms
2024-10-22 10:42:29,510 I(5928|5984)[SP_KPI][Media][OPEN_CAMERA]: 19ms
2024-10-22 10:42:44,831 I(5928|6022)[SP_KPI][Media][OPEN_CAMERA]: 22ms
2024-10-22 10:43:06,509 I(5928|5975)[SP_KPI][Media][OPEN_CAMERA]: 13ms
2024-10-22 10:43:06,780 I(5928|5975)[SP_KPI][Media][START_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-22 10:43:06,784 I(5928|5975)[RCD8_ME101]startVideoStream, encoder:5,remoteIp valid:false,ports:-*******/-*******,colorReversed:false,quality:1280x720_25_1800000_2,mVideoPT:104,mExtraBytesNum:0
2024-10-22 10:43:07,951 I(5928|7556)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: true
2024-10-22 10:43:08,011 I(5928|5975)[SP_KPI][Media][START_RECORDER] end
2024-10-22 10:43:09,040 I(5928|7477)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: false
2024-10-22 10:45:11,059 I(5928|5944)[SP_KPI][Media][STOP_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-22 10:46:21,044 I(5928|5975)[SP_KPI][Media][OPEN_CAMERA]: 36ms
2024-10-22 11:19:14,949 I(5928|7067)[SP_KPI][Media][OPEN_CAMERA]: 27ms
2024-10-22 11:21:52,075 I(5928|9249)[SP_KPI][Media][OPEN_CAMERA]: 23ms
2024-10-22 11:22:49,533 I(5928|5945)[SP_KPI][Media][OPEN_CAMERA]: 11ms
2024-10-22 11:23:09,596 I(5928|9249)[SP_KPI][Media][OPEN_CAMERA]: 9ms
2024-10-22 11:24:02,565 I(5928|9059)[SP_KPI][Media][OPEN_CAMERA]: 22ms
2024-10-22 11:24:07,865 I(5928|9249)[SP_KPI][Media][OPEN_CAMERA]: 14ms
2024-10-22 11:24:08,125 I(5928|9249)[SP_KPI][Media][START_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-22 11:24:08,127 I(5928|9249)[RCD8_ME101]startVideoStream, encoder:5,remoteIp valid:false,ports:-*******/-*******,colorReversed:false,quality:1280x720_25_1800000_2,mVideoPT:104,mExtraBytesNum:0
2024-10-22 11:24:08,745 I(5928|10848)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: true
2024-10-22 11:24:08,813 I(5928|9249)[SP_KPI][Media][START_RECORDER] end
2024-10-22 11:24:10,471 I(5928|10829)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: false
2024-10-22 11:24:16,832 I(5928|9249)[SP_KPI][Media][STOP_RECORDER][MAINTENANCE_MEDIA] begin
